full_title;link;location;start_day;start_month;start_year;end_day;end_month;end_year;tags;site;cd_day;cd_month;cd_year
Chinese Culture in the Global Context International Conference 2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=342556;Hong Kong;13;2;2019;15;2;2019;Ling &amp, Literature, Translation;https://bit.ly/ouhk-ccgc2019;19;9;2018
Colloque Diachro IX Le franØ_ais en diachronie;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=335096;Salamanca;28;2;2019;30;2;2019;Historical Linguistics;https://diachroix.wordpress.com/;5;10;2018
Construcciones en espaØ±ol: contacto, variaciØ∂n y cambio;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=322516;Berlin;27;2;2019;31;2;2019;General Linguistics, Linguistic Theories;http://www.fu-berlin.de/sites/hispanistentag2019;31;6;2018
Current Trends in Linguistics 2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=340216;Hamburg;28;2;2019;29;2;2019;Applied Linguistics, Cognitive Science, General Linguistics, Language Acquisition, Typology;https://cutli2019.wordpress.com;30;10;2018
Descriptive Grammars and Typology: The Challenges of Writing Grammars of Underdescribed and Endangered Languages;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=330796;Helsinki;27;2;2019;29;2;2019;Anthropological Linguistics, General Linguistics, Language Documentation, Typology;https://www.helsinki.fi/en/conferences/descriptive-grammars-and-typology;30;8;2018
Digital Approaches to Teaching Historical Languages;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=349636;Berlin;28;2;2019;29;2;2019;Applied Linguistics, Computational Linguistics, Historical Linguistics, Language Acquisition;https://hu.berlin/dattel;9;11;2018
Diversity of Writing Systems: Embracing Multiple Perspectives. Association of Written Language and Literacy's 12th International Workshop;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=329336;Cambridge;26;2;2019;28;2;2019;Writing Systems;https://awll12.wordpress.com/;30;8;2018
Dominanz Macht Sprache;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=333016;Cluj-Napoca;11;2;2019;12;2;2019;Pragmatics, Sociolinguistics;None;30;10;2018
Educating the Global Citizen ‚«í International Perspectives on Foreign Language Teaching in the Digital Age;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=345756;Munich, Bavaria;25;2;2019;28;2;2019;Applied Linguistics, Language Acquisition, Ling &amp, Literature;https://www.tefl.anglistik.uni-muenchen.de/conference-global-education/index.html;30;10;2018
Embodying Transitions Beings and Becomings;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=348296;Madison, Wisconsin;6;2;2019;9;2;2019;Applied Linguistics, General Linguistics, Historical Linguistics, Language Acquisition, Sociolinguistics;https://kaleidoscope.spanport.wisc.edu/;14;11;2018
English in Contact;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=342996;Fukuoka;28;2;2019;29;2;2019;General Linguistics, History of Linguistics, Linguistic Theories, Typology;None;31;9;2018
English Studies at the Interface of Disciplines: Research and Practice - 2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=332876;Skopje;21;2;2019;23;2;2019;Applied Linguistics, General Linguistics, Ling &amp, Literature, Translation;None;11;9;2018
European Dialect Syntax (Edisyn) Workshop IX;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=350777;Glasgow;22;2;2019;23;2;2019;Sociolinguistics, Syntax;http://scotssyntaxatlas.ac.uk/workshops/edsw9;2;11;2018
Forging Linguistic Identities;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=329096;Towson, Maryland;14;2;2019;16;2;2019;General Linguistics, Ling &amp, Literature, Sociolinguistics;None;1;10;2018
Formal Approaches to South Asian Languages;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=351476;Portland, Oregon;16;2;2019;17;2;2019;General Linguistics, Morphology, Phonetics, Phonology, Semantics, Syntax;https://www.reed.edu/linguistics/fasal9;15;11;2018
Generative Approaches to Second Language Acquisition 15;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=339656;Reno, NV;22;2;2019;24;2;2019;Applied Linguistics, General Linguistics, Language Acquisition, Linguistic Theories, Psycholinguistics;https://www.unr.edu/world-languages/language-events-and-activities/gasla-xv;2;10;2018
Georgetown University Roundtable on Languages and Linguistics 2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=356096;Washington, D.C.;29;2;2019;31;2;2019;Applied Linguistics, Forensic Linguistics, General Linguistics, Language Documentation, Sociolinguistics;http://gurt.georgetown.edu;16;11;2018
Hradec KrØòlovØ© Anglophone Conference 2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=348276;Hradec KrØòlovØ©;28;2;2019;29;2;2019;Applied Linguistics, Ling &amp, Literature;https://hk-anglophone-conference.webnode.cz/;20;0;2019
International Conference on Current Trends in Linguistics;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=327437;Rouen;28;2;2019;29;2;2019;Discipline of Linguistics, General Linguistics;http://www.ctl2019.com;1;8;2018
International Conference on Education Quality 2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=339736;Agadir;13;2;2019;15;2;2019;Applied Linguistics;http://iceq.uiz.ac.ma;15;0;2019
International Conference on Multilingualism and Multilingual Education;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=343216;Bielefeld;21;2;2019;23;2;2019;Applied Linguistics, Discourse Analysis, Language Acquisition, Psycholinguistics, Sociolinguistics;https://icmme2019.wordpress.com;31;11;2018
International Symposium on Linguistics, Cognition, and Culture;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=339036;Belo Horizonte - MG;13;2;2019;15;2;2019;Anthropological Linguistics, Cognitive Science, Discourse Analysis, Pragmatics, Sociolinguistics;http://www.letras.ufmg.br/simposiolcc/;31;9;2018
International Workshop on Degrees and Grammar: An East Asian Perspective;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=340757;Nanjing, Jiangsu;16;2;2019;17;2;2019;General Linguistics, Linguistic Theories, Psycholinguistics, Semantics, Syntax;None;30;10;2018
IV International Conference of Applied Linguistics in English and Spanish;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=334256;Perez Zeledon, San Jose;27;2;2019;29;2;2019;Applied Linguistics;http://srb.una.ac.cr/congreso/;24;8;2018
Jornadas de FormaciØ∂n de Profesores de EspaØ±ol en Hong Kong;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=354836;Hong Kong;8;2;2019;9;2;2019;Applied Linguistics, Cognitive Science, Discourse Analysis, General Linguistics, Language Acquisition;None;14;11;2018
Language Change in English and Beyond: Linguistic Theory and Historical Corpora;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=346496;Athens;14;2;2019;15;2;2019;Historical Linguistics, Linguistic Theories, Text/Corpus Linguistics;None;7;11;2018
Language Change in English and Beyond: Linguistic Theory and Historical Corpora;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=346596;Athens;14;2;2019;15;2;2019;Historical Linguistics, Linguistic Theories, Text/Corpus Linguistics;None;1;11;2018
L‚«∏art des Ø©changes culturels dans les littØ©ratures et les cultures de langue franØ_aise;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=354956;Victoria, BC;8;2;2019;9;2;2019;General Linguistics, Language Documentation, Sociolinguistics;https://onlineacademiccommunity.uvic.ca/adec/appel/;20;11;2018
Le FranØ_ais en Jeu;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=310616;Amsterdam;22;2;2019;23;2;2019;Applied Linguistics;None;1;3;2018
Linguistic Investigations Beyond Language: Gestures, Body Movement and Primate Linguistics;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=346936;Berlin;11;2;2019;12;2;2019;Cognitive Science, Semantics, Syntax;None;15;11;2018
Linguistics and Asian Languages;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=347156;Pozna…ó;15;2;2019;16;2;2019;Applied Linguistics, Computational Linguistics, General Linguistics, Text/Corpus Linguistics;None;None;None;None
Local and Global: ‚«òSpanish(es),‚«∏ Identity and Space in US Cities;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=333956;Washington, DC;21;2;2019;24;2;2019;Anthropological Linguistics, Ling &amp, Literature, Sociolinguistics;https://www.buffalo.edu/nemla/convention.html;30;8;2018
Master Class with Artemis Alexiadou;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=354496;Thessaloniki;19;2;2019;19;2;2019;General Linguistics, Morphology, Syntax;http://demines.del.auth.gr/en/activities/events;8;0;2019
New Methods and Trends in (Basque) Linguistics;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=342616;Pamplona (Navarre);6;2;2019;7;2;2019;Applied Linguistics, General Linguistics, Historical Linguistics, Ling &amp, Literature, Typology;http://conference.fontes50.es/;15;10;2018
Norddeutsches Linguistisches Kolloquium;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=355996;Osnabrueck;28;2;2019;29;2;2019;Discipline of Linguistics;None;6;0;2019
Nordic Research on Accent, Acceptability and Acquisition;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=346377;Kiel;21;2;2019;22;2;2019;Applied Linguistics, Language Acquisition, Phonetics;https://steffenhoeder.de/nordac3/;30;10;2018
Nouns - between syntax and semantics;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=352476;Paris;29;2;2019;30;2;2019;Semantics, Syntax;None;31;0;2019
Philological Society Early Career Researcher Forum;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=342196;Oxford;8;2;2019;9;2;2019;General Linguistics, Historical Linguistics, Lexicography, Typology;http://blog.philsoc.org.uk/2018/09/05/cfp-early-career-researcher-forum;14;11;2018
Phonological Theory Agora;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=352896;Nice;15;2;2019;16;2;2019;Phonology;https://ptanice.wordpress.com/;15;0;2019
Phraseology and Stylistics of Literary Language;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=333336;Erlangen;13;2;2019;15;2;2019;Computational Linguistics, Ling &amp, Literature, Text/Corpus Linguistics;https://www.romanistik.phil.fau.de/tagung-phraseorom-call-for-papers-eng;15;9;2018
Purdue Linguistics, Literature, and Second Language Studies Conference;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=349936;West Lafayette, IN;1;2;2019;3;2;2019;Applied Linguistics, Discourse Analysis, General Linguistics, Language Acquisition, Ling &amp, Literature;http://purduelangconf.wixsite.com/plls;1;11;2018
Second Colloquium on Language Contact in Education: Multilingual Competences and Practices;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=347476;Rabat;13;2;2019;14;2;2019;Applied Linguistics;None;30;0;2019
"Tabu: 6th Annual Graduate Conference of the Department of Spanish &amp; Portuguese - University of Minnesota";https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=354576;Minneapolis, MN;29;2;2019;30;2;2019;Applied Linguistics, Historical Linguistics, Language Acquisition, Pragmatics, Sociolinguistics;http://calambur.weebly.com/;1;1;2019
The Creative Power of Metaphor;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=336697;Oxford;29;2;2019;30;2;2019;Applied Linguistics, Discourse Analysis, General Linguistics, Language Acquisition, Sociolinguistics;None;7;10;2018
The Evolution of Language: Bridging the Natural and Cognitive Sciences;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=351776;Zurich;4;2;2019;5;2;2019;Anthropological Linguistics, Cognitive Science, General Linguistics, Language Acquisition, Sociolinguistics;https://www.comparativelinguistics.uzh.ch/en/events/ISLE-inaugural-workshop.html;3;11;2018
The Meaning of Numerals: Cognitive, Experimental, and Semantic Perspectives;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=349236;ZAS, Berlin;27;2;2019;28;2;2019;Cognitive Science, Computational Linguistics, General Linguistics, Philosophy of Language, Semantics;http://meaningofnumerals.christophhesse.com;7;0;2019
Third Symposium on Amazonian Languages;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=356456;Berkeley, CA;16;2;2019;17;2;2019;Language Documentation;None;None;None;None
Translation and Identity - 10th Annual Graduate Student Conference in Translation Studies;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=351456;Toronto, Ontario;2;2;2019;2;2;2019;Anthropological Linguistics, General Linguistics, Ling &amp, Literature, Sociolinguistics, Translation;https://glendontransconf.wordpress.com;15;11;2018
Translation and Language: Comparative Studies;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=352296;Kyiv;27;2;2019;28;2;2019;Applied Linguistics, Cognitive Science, Discourse Analysis, Semantics, Translation;None;None;None;None
VIII Annual Undergraduate Conference on Latin American and Iberian Studies;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=351996;Cleveland, Tennessee;23;2;2019;23;2;2019;Ling &amp, Literature;http://webpages.leeu.edu/uclasp/;22;1;2019
Western Interdisciplinary Student Symposium on Language Research;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=351576;London, Ontario;15;2;2019;15;2;2019;Applied Linguistics, Computational Linguistics, General Linguistics, Language Acquisition, Psycholinguistics;https://www.uwo.ca/linguistics/graduate/wisslr/index.html;21;11;2018
Whither Reanalysis;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=336896;Berlin;1;2;2019;2;2;2019;Historical Linguistics, Linguistic Theories;https://www.romanistik.hu-berlin.de/personal/waltereit/whither-reanalysis;31;7;2018
Workshop on Linguistic Minorities in Asia;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=337396;Hong Kong;22;2;2019;23;2;2019;Anthropological Linguistics, Discourse Analysis, Pragmatics, Sociolinguistics;https://sites.google.com/uchicago.edu/wlmhk2019;15;11;2018
Workshop: ‚«ªTwin Talks: Understanding Collaboration in DH‚«é;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=355677;Copenhagen;5;2;2019;5;2;2019;Applied Linguistics, Computational Linguistics, Historical Linguistics, Ling &amp, Literature, Sociolinguistics;https://www.clarin.eu/event/2019/twintalksdhn2019;2;0;2019
XV Foro de profesores de E/LE: las destrezas orales;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=356877;Valencia;1;2;2019;2;2;2019;Applied Linguistics, Language Acquisition;http://foroele.blogs.uv.es;18;0;2019
XXII. Deutscher Hispanistentag ‚«åConstellations, networks and transformations‚«ª;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=320076;Berlin;27;2;2019;31;2;2019;Ling &amp, Literature;http://www.fu-berlin.de/sites/hispanistentag2019;31;6;2018
11th Annual Meeting of the Illinois Language and Linguistics Society;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=341516;Urbana-Champaign, Illinois;26;3;2019;28;3;2019;General Linguistics;http://ills.linguistics.illinois.edu/;1;1;2019
11th International Conference on Professional Communication and Translation Studies;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=349556;Timisoara;4;3;2019;5;3;2019;Applied Linguistics, Language Acquisition, Linguistic Theories, Sociolinguistics, Translation;http://sc.upt.ro/ro/pcts11;25;1;2019
27th Spanish in the US and 12th Spanish in Contact with Other Languages;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=341396;Cleveland;4;3;2019;6;3;2019;Sociolinguistics;https://engagedscholarship.csuohio.edu/conference-spanish-in-the-us/;10;10;2018
2nd International Conference on Literature, Linguistics, and Translation;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=349436;Tafila;2;3;2019;4;3;2019;General Linguistics, Ling &amp, Literature, Translation;http://www.ttu.edu.jo/conf/ar/lltc2;10;0;2019
2nd North American Conference in Iranian Linguistics;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=333196;Tucson, Arizona;19;3;2019;21;3;2019;General Linguistics;None;1;0;2018
2nd Symposium on Linguistic Attitudes toward Spanish, Portuguese and Related Languages;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=329796;Amherst, Massachusetts;12;3;2019;13;3;2019;Sociolinguistics;https://blogs.umass.edu/lasprl/;31;9;2018
33rd Annual Symposium on Arabic Linguistics;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=333456;Toronto;5;3;2019;7;3;2019;General Linguistics;http://nmc.utoronto.ca/33rd-annual-symposium-on-arabic-linguistics/;15;10;2018
3rd International ESP Conference;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=338176;Liverpool;26;3;2019;27;3;2019;Applied Linguistics, General Linguistics, Linguistic Theories;https://esptassociation.com/esp-conference-2019/;15;10;2018
3rd Swedish Translanguaging Conference;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=340256;VØóXJØê;11;3;2019;12;3;2019;Applied Linguistics;https://lnu.se/en/research/conferences/3rd-translanguaging-conference/;30;8;2018
3rd Workshop on Formal Approaches to Russian Linguistics;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=356496;Moscow;5;3;2019;6;3;2019;General Linguistics, Linguistic Theories, Morphology, Phonology, Syntax;http://otipl.philol.msu.ru/library/seminars/farl/farl3_main.php;30;0;2019
4th Annual Center for Languages and Intercultural Communication Conference;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=343436;Houston, Texas;12;3;2019;14;3;2019;Pragmatics, Sociolinguistics;http://beyondvalidity.rice.edu/call-for-papers/;1;11;2018
7th International Graduate Student Conference on Diverse Approaches to Linguistics;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=335376;Jerusalem;8;3;2019;8;3;2019;General Linguistics;https://igdal.wordpress.com;30;10;2018
7th Novi Sad Workshop in Psycholinguistic, Neurolinguistic and Clinical Linguistic Research;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=354217;Novi Sad;20;3;2019;20;3;2019;Clinical Linguistics, Cognitive Science, Discipline of Linguistics, Neurolinguistics, Psycholinguistics;http://ff.uns.ac.rs/fakultet/fakultet_konferencije.html;30;11;2018
9th International Conference of the Undergraduate Linguistics Association of Britain;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=355736;London;11;3;2019;13;3;2019;General Linguistics;None;None;None;None
Asymmetries of Knowledge;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=352516;FU Berlin;15;3;2019;16;3;2019;Historical Linguistics, Language Acquisition, Ling &amp, Literature, Sociolinguistics;None;10;0;2019
BALEAP 2019 Biennial Conference;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=334016;Leeds;12;3;2019;14;3;2019;Applied Linguistics;http://baleap2019.co.uk;1;9;2018
COACT Conference 2019: Interaction and discourse in flux: Changing landscapes of everyday life;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=324376;Oulu;24;3;2019;26;3;2019;Applied Linguistics, Discourse Analysis, Pragmatics, Sociolinguistics, Text/Corpus Linguistics;http://www.oulu.fi/coact/conference2019;19;9;2018
"Contacts &amp; Contrasts 2019: Cultural Conceptualizations in Language, Literature, and Translation";https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=344416;Konin;1;3;2019;3;3;2019;Anthropological Linguistics, General Linguistics, Psycholinguistics, Sociolinguistics, Translation;http://www.cc.pwsz.konin.edu.pl/start/;15;1;2019
Culture and Cognition in Language 2;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=346396;Rzeszow;25;3;2019;26;3;2019;Cognitive Science, General Linguistics, Linguistic Theories, Semantics, Sociolinguistics;http://www.ccl.ur.edu.pl;30;0;2019
Doing Experiments with Theoretical Linguistics;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=351516;Amsterdam;9;3;2019;9;3;2019;Cognitive Science, Linguistic Theories, Phonology, Psycholinguistics, Syntax;None;15;11;2018
El plano fØ∂nico del espaØ±ol. SecciØ∂n monogrØòfica de las VIII Jornadas Internacionales de LingØÄØ_stica HispØònica;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=355796;Lisboa;1;3;2019;3;3;2019;Phonetics, Phonology;None;None;None;None
EMI Practices in Europe;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=329056;Copenhagen;4;3;2019;5;3;2019;Applied Linguistics, Sociolinguistics;http://cip.ku.dk/english/projects/taec/activities-and-events/emi-conference/;30;9;2018
English Historical Lexicography in the Digital Age: Focus on Social and Geographical Variation;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=336456;Bergamo;11;3;2019;13;3;2019;Historical Linguistics, Lexicography;https://ls-llepa.unibg.it/it/news/english-historical-lexicography-digital-age-focus-social-and-geographical-variation;15;10;2018
Eurolinguistics Conference: Linguistic Aspects of the Past, Present and Future of Europe;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=338216;DonauwØ_rth;5;3;2019;7;3;2019;Applied Linguistics, Sociolinguistics;https://innovativeeuropaischesprachlehre.wordpress.com/eurolinguistics-conferences/eurolinguistics-conference-2019/;30;8;2018
Florida Linguistics Yearly Meeting 2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=357456;Gainesville;5;3;2019;6;3;2019;General Linguistics;https://flym2019.weebly.com/;12;0;2019
General and Specialist Translation/ Interpretation: Theory, Methods, Practice;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=350456;Kyiv;5;3;2019;5;3;2019;Translation;None;10;1;2019
Heterotopic Junction Conference;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=353016;Hong Kong;13;3;2019;13;3;2019;Ling &amp, Literature;https://heterotopicjunction.wordpress.com/cfp/;1;11;2018
Historical Corpora and Variation;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=345776;Cagliari;4;3;2019;5;3;2019;Computational Linguistics, Historical Linguistics, Text/Corpus Linguistics;http://convegni.unica.it/hicov/;15;10;2018
Humor Research Project Conference;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=356076;Sosnowiec;4;3;2019;5;3;2019;Cognitive Science, Discourse Analysis, Ling &amp, Literature, Pragmatics, Psycholinguistics;https://annastwora92.wixsite.com/hrp2019;19;0;2019
II Experimental Portuguese Linguistics Workshop;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=346536;Toronto, Ontario;26;3;2019;27;3;2019;General Linguistics;https://exportli.wordpress.com/;10;0;2019
iMean6 Interaction and Meaning;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=334956;Wellington;15;3;2019;17;3;2019;Applied Linguistics, Discourse Analysis, Forensic Linguistics, Pragmatics, Sociolinguistics;http://www.confer.nz/imean6/;31;9;2018
International Conference of Department of English Language and Literature;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=354336;Lahore/Punjab;6;3;2019;7;3;2019;Applied Linguistics, Discipline of Linguistics, Ling &amp, Literature;https://ssh.umt.edu.pk/icdell/home.aspx;15;11;2018
International Language Teacher Education Conference;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=352216;Antalya;8;3;2019;10;3;2019;Applied Linguistics;None;None;None;None
International Workshop on the L1 and L2 Acquisition of Information Structure;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=355076;Leuven;25;3;2019;26;3;2019;Language Acquisition, Pragmatics;https://www.arts.kuleuven.be/ling/is-acquisition/AIS2019;1;1;2019
Language and Culture in the Era of Scientific Knowledge and Professional Education Integration;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=355436;Pyatigorsk/Stavropol Region;11;3;2019;12;3;2019;Applied Linguistics, Cognitive Science, Computational Linguistics, Psycholinguistics, Sociolinguistics;None;15;2;2019
"Language Education &amp; Acquisition Research Conference 2019 Focusing Early Language Acquisition";https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=341296;EichstØ_tt;11;3;2019;13;3;2019;Cognitive Science, Language Acquisition, Sociolinguistics;http://www.ku.de/lear/;31;11;2018
Language, Literature, Context 2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=347976;Ni…ò;12;3;2019;13;3;2019;Ling &amp, Literature;None;1;1;2019
La syntaxe des adverbes du franØ_ais : Aspects catØ©goriel et fonctionnel;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=352916;Olomouc;18;3;2019;19;3;2019;Syntax;None;1;1;2019
Linguistic Forum 2019: Indigenous Languages of Russia and Beyond;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=349316;Moscow;4;3;2019;6;3;2019;Anthropological Linguistics, Language Documentation, Sociolinguistics;http://iling-ran.ru/main/news/181022_indigenous;15;11;2018
Linguistics in the Gulf 6;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=343596;Doha;1;3;2019;2;3;2019;Computational Linguistics, Discourse Analysis, General Linguistics, Language Acquisition, Sociolinguistics;http://www.qu.edu.qa/artssciences/departments/dell%E2%80%93home/linguistics%E2%80%93gulf%E2%80%93conf;6;0;2019
Linguistics Prague 2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=354376;Prague;25;3;2019;27;3;2019;Discipline of Linguistics, General Linguistics;http://linguisticsprague.ff.cuni.cz/;13;0;2019
Linking Interdisciplinary Perspectives on Cultural, Professional and Scientific Capacity Building;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=346556;R◊ága;11;3;2019;12;3;2019;Applied Linguistics, Lexicography, Semantics, Sociolinguistics, Translation;http://lu.lv/lincs;15;0;2019
Literature Today and Tomorrow;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=345856;Tunis;19;3;2019;20;3;2019;Ling &amp, Literature;None;15;11;2018
Lund Symposium on Cognition, Communication and Learning;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=340676;Lund;24;3;2019;26;3;2019;Cognitive Science, Discipline of Linguistics, Language Acquisition, Neurolinguistics, Psycholinguistics;None;None;None;None
MariCorners 2019 LGTBIQ+ Communication and Spaces: I International Conference on LGTBIQ aspects and language;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=331736;Madrid;10;3;2019;12;3;2019;General Linguistics, Lexicography, Pragmatics, Sociolinguistics, Translation;https://maricorners.wordpress.com/comite-organizador/;31;6;2018
Meaning and Indexicality across Subfields and Theories;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=351976;Paris;12;3;2019;13;3;2019;Anthropological Linguistics, Cognitive Science, Pragmatics, Semantics, Sociolinguistics;https://sites.google.com/view/meanind/home;15;0;2019
Minnesota Undergraduate Linguistics Symposium 2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=355636;Minneapolis, MN;13;3;2019;13;3;2019;General Linguistics;http://z.umn.edu/muls;22;1;2019
Modern Developments in Linguistics and Language Teaching: The Problem of Method;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=352316;Penza;24;3;2019;26;3;2019;Applied Linguistics, Discourse Analysis, General Linguistics, Sociolinguistics, Translation;https://dep_english.pnzgu.ru/page/41773;20;0;2019
Multilingualism, Diversity and Democracy Conference 2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=356836;JØ_nkØ_ping;8;3;2019;10;3;2019;Anthropological Linguistics, Applied Linguistics, Sociolinguistics;https://ju.se/4.7078f8ef165f93b83dff25.html;15;0;2019
Neuroscience of Language in Abu Dhabi;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=334216;Abu Dhabi;22;3;2019;23;3;2019;Cognitive Science, Neurolinguistics;https://wp.nyu.edu/neurolangnyuad2019/;19;10;2018
Noun Categorization: From Grammar to Communicative Interaction;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=349276;Lyon;18;3;2019;19;3;2019;Morphology, Pragmatics, Syntax, Text/Corpus Linguistics, Typology;http://www.ddl.cnrs.fr/colloques/NCW2019/;1;11;2018
"Popular Culture Association &amp; American Culture Association 2019 Joint National Conference: Language Attitudes &amp; Popular Linguistics Area";https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=340636;Washington, D.C.;17;3;2019;20;3;2019;Applied Linguistics, Language Acquisition, Sociolinguistics;http://conference.pcaaca.org;1;9;2018
